id,name,city,country,capacity,pitch_type,latitude,longitude,timezone
201,Wankhede Stadium,Mumbai,India,33000,Batting Friendly,18.9389,72.8258,Asia/Kolkata
202,Arun Jaitley Stadium,Delhi,India,41800,Spin Friendly,28.6378,77.2425,Asia/Kolkata
